2000/08/01;09:00;AUD;H;Employment Change (Jul);;74.30K;;;34.90K;
2000/08/01;09:00;AUD;H;RBA Interest Rate Decision (Jul);;6.00%;;;6.00%;
2000/08/01;09:00;AUD;H;Retail Sales (MoM) (Jul);;-10.60%;;;8.10%;
2000/08/01;09:00;NZD;H;RBNZ Interest Rate Decision (Jul);;6.50%;;;6.50%;
2000/08/01;09:00;EUR;H;CPI (YoY) (Jul);;2.40%;;;2.10%;
2000/08/01;09:00;EUR;H;ECB Interest Rate Decision (Jul);;4.25%;;;4.25%;
2000/08/01;12:30;USD;H;Unemployment Rate (Jul);;4%;;;4%;
2000/08/04;12:30;USD;H;Nonfarm Payrolls (Jul);;179K;;;-47K;
2000/09/01;09:00;GBP;H;Claimant Count Change (Aug);;-14.30K;;;-18.90K;
2000/09/01;09:00;GBP;H;CPI (YoY) (Aug);;0.60%;;;0.90%;
2000/09/01;09:00;GBP;H;BoE Interest Rate Decision (Aug);;6.00%;;;6.00%;
2000/09/01;09:00;GBP;H;Manufacturing Production (MoM) (Aug);;1.60%;;;-1.10%;
2000/09/01;09:00;GBP;H;Retail Sales (MoM) (Aug);;1.70%;;;-0.20%;
2000/09/01;09:00;USD;H;CB Consumer Confidence (Aug);;140.80;;;143.00;
2000/09/01;09:00;USD;H;Core CPI (MoM) (Aug);;0.20%;;;0.20%;
2000/09/01;09:00;USD;H;Core Retail Sales (MoM) (Aug);;0.10%;;;0.30%;
2000/09/01;09:00;USD;H;Crude Oil Inventories (Aug);;0.99M;;;-2.23M;
2000/09/01;09:00;USD;H;Existing Home Sales (Aug);;5.17M;;;5.11M;
2000/09/01;09:00;USD;H;ISM Manufacturing PMI (Aug);;49.90;;;52.50;
2000/09/01;09:00;USD;H;ISM Non-Manufacturing PMI (Aug);;57.60;;;55.30;
2000/09/01;09:00;USD;H;New Home Sales (Aug);;848.00K;;;887.00K;
2000/09/01;09:00;USD;H;Philadelphia Fed Manufacturing Index (Aug);;17.00;;;4.70;
2000/09/01;09:00;USD;H;Retail Sales (MoM) (Aug);;0.10%;;;-0.30%;
2000/09/01;09:00;CAD;H;Core CPI (MoM) (Aug);;0.20%;;;0.00%;
2000/09/01;09:00;CAD;H;Core Retail Sales (MoM) (Aug);;-0.40%;;;1.40%;
2000/09/01;09:00;CAD;H;Employment Change (Aug);;19.90K;;;3.60K;
2000/09/01;09:00;CAD;H;GDP (MoM) (Aug);;0.40%;;;0.20%;
